Filename,Source,Name,Author,Date,BrawlVaultLink,DirectLink,Imported,Notes
STGCUSTOM02,Super Smash Bros.,Peach's Castle,"MarioDox, soopercool101, et al",5/13/2018,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=215860,https://gamebanana.com/maps/download/200020,,Includes bumper
STGCUSTOM03,Super Smash Bros.,Kongo Jungle,"MarioDox, soopercool101, et al",5/13/2019,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=215860,https://gamebanana.com/maps/download/200020,,Includes barrel
STGCUSTOM04,Super Smash Bros.,Hyrule Castle,"MarioDox, soopercool101, et al",5/13/2020,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=215860,https://gamebanana.com/maps/download/200020,,Includes tornado
STGCUSTOM05,Super Smash Bros.,Planet Zebes,Mewtwo2000,,From Project M 3.6,,,
STGCUSTOM06,Super Smash Bros.,Dream Land,Edwguard Flows,10/25/2015,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209944,https://www.dropbox.com/s/jj19711g5airiad/Dream%20Land%2064%20-%20Smash%20U.rar?dl=0,TRUE,
STGCUSTOM07,Super Smash Bros.,Saffron City,Mewtwo2000,,From Project M 3.6,,,
STGCUSTOM13,Super Smash Bros. Melee,Yoshi's Story,"Mewtwo2000, Oshtoby, Strong_Bad, MonkUnit",,From Project M 3.6,,,
STGCUSTOM14,Super Smash Bros. Melee,Fountain of Dreams,Mewtwo2000,,From Project M 3.6,,,
STGCUSTOM15,Super Smash Bros. Melee,Princess Peach's Castle,Mewtwo2000,8/31/2013,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=34048,http://www.mediafire.com/folder/3vx7u8vddl4fw/Peach,,"""Extra""ù version"
STGCUSTOM16,Super Smash Bros. Melee,Fourside,Mewtwo2000,,From Project M 3.6,,,
STGCUSTOM01,Super Smash Bros. Brawl,Online Practice Stage,,9/26/2014,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=7153,http://www.mediafire.com/download.php?muzuui012vm,,This version allows spawning items other than the sandbag
STGCUSTOM08,Super Smash Bros. for Wii U,Big Battlefield,Edwguard Flows,10/12/2017,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=214885,https://www.dropbox.com/s/q2nrrodpp44ix4x/Edwguard%20Flows%20-%20Battlefield%20%28Smash%20U%29%20-%20Update.rar?dl=0,TRUE,
STGCUSTOM09,Super Smash Bros. for Wii U,Wii Fit Studio,DSX8,4/1/2016,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=211340,https://mega.nz/#!g4E13DZC!s5JK21jBmFGvA_po5qEW2wVycZC14yFjtqF8GvhQ6cs,TRUE,
STGCUSTOM0A,Super Smash Bros. for Wii U/3DS,Gaur Plain,DSX8,1/23/2016,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=208677,https://www.dropbox.com/s/cb3kgpgit6ceaxm/Gaur%20Plains%20%28SmashU%29.rar?dl=0,TRUE,Springs positioned using CHR0 animations
STGCUSTOM0B,Super Smash Bros. for 3DS,Magicant,DSX8,12/6/2017,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=210060,https://www.dropbox.com/s/nec5u36chiasikt/Magicant%20%28Smash3ds%29.rar?dl=0,TRUE,
STGCUSTOM0C,Super Smash Bros. for 3DS,Gerudo Valley,DSX8,12/10/2015,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=210278,https://www.dropbox.com/s/zukd97l4u3vreko/Gerudo%20Valley%20%28Smash3ds%29.rar?dl=0,TRUE,
STGCUSTOM0D,Project M,Distant Planet,Mewtwo2000,,From Project M 3.6,,,
STGCUSTOM0E,Brawl Minus,75 m,,,From Brawl Minus 4.1,,,
STGCUSTOM0F,Super Smash Flash 2,Jungle Hijinx,"Legacy Wolf, Mewtwo2000, KTH",,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=33220,http://www.mediafire.com/download/8c88zqyw8x226bq/Jungle_Hijinx.zip,,No cannon version
STGCUSTOM10,Super Smash Bros. Crusade,Rice Beach,libertyernie,12/4/2017,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=22694,https://www.mediafire.com/file/oxfw80agsd8sv6t/Rice%20Beach%20%28SSBC%29%20-%20Dec%202017.zip,,
STGCUSTOM11,Super Smash Land,Lavender Town,"Tybis, libertyernie",,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=30928,https://www.mediafire.com/file/prs9p1rblz0bsc1/STGSSLLAVENDER%20%28December%202017%20-%20all%20versions%29.zip,,This version removes a few elements that were introduced in Brawl Minus
STGCUSTOM12,Teenage Mutant Ninja Turtles: Smash-Up,Technodrome,DSX8,12/27/2012,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=30344,https://skydrive.live.com/embed?cid=2E29852C568B1E25&resid=2E29852C568B1E25%21332&authkey=AMLkk31SAGWJzT0,,
